sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 19:00:35.647000000,humidity,82.0
senor_1,2024-03-29 19:00:34.628000000,temperature,9.800000191
senor_1,2024-03-29 19:00:34.628000000,humidity,81.0
senor_1,2024-03-29 19:00:33.606000000,temperature,9.800000191
senor_1,2024-03-29 19:00:33.606000000,humidity,81.0
senor_1,2024-03-29 19:00:32.632000000,temperature,9.5
senor_1,2024-03-29 19:00:32.632000000,humidity,81.0
senor_1,2024-03-29 19:00:31.575000000,temperature,9.5
senor_1,2024-03-29 19:00:31.575000000,humidity,81.0
senor_1,2024-03-29 19:00:30.585000000,temperature,9.300000191
senor_1,2024-03-29 19:00:30.585000000,humidity,80.0
senor_1,2024-03-29 19:00:29.534000000,temperature,9.300000191
senor_1,2024-03-29 19:00:29.534000000,humidity,80.0
senor_1,2024-03-29 19:00:28.524000000,temperature,9.100000381
senor_1,2024-03-29 19:00:28.524000000,humidity,80.0
senor_1,2024-03-29 19:00:27.584000000,temperature,9.100000381
senor_1,2024-03-29 19:00:27.584000000,humidity,80.0
senor_1,2024-03-29 19:00:26.516000000,temperature,8.800000191
senor_1,2024-03-29 19:00:26.516000000,humidity,79.0
senor_1,2024-03-29 19:00:25.502000000,temperature,8.800000191
senor_1,2024-03-29 19:00:25.502000000,humidity,79.0
senor_1,2024-03-29 19:00:24.493000000,temperature,8.5
senor_1,2024-03-29 19:00:24.493000000,humidity,78.0
senor_1,2024-03-29 19:00:23.489000000,temperature,8.5
senor_1,2024-03-29 19:00:23.489000000,humidity,78.0
senor_1,2024-03-29 19:00:22.426000000,temperature,8.199999809
senor_1,2024-03-29 19:00:22.426000000,humidity,78.0
senor_1,2024-03-29 19:00:21.423000000,temperature,8.199999809
senor_1,2024-03-29 19:00:21.423000000,humidity,78.0
senor_1,2024-03-29 19:00:20.439000000,temperature,7.900000095
senor_1,2024-03-29 19:00:20.439000000,humidity,77.0
senor_1,2024-03-29 19:00:19.393000000,temperature,7.900000095
senor_1,2024-03-29 19:00:19.393000000,humidity,77.0
senor_1,2024-03-29 19:00:18.430000000,temperature,7.599999905
senor_1,2024-03-29 19:00:18.430000000,humidity,76.0
senor_1,2024-03-29 19:00:17.373000000,temperature,7.599999905
senor_1,2024-03-29 19:00:17.373000000,humidity,76.0
senor_1,2024-03-29 19:00:16.392000000,temperature,7.199999809
senor_1,2024-03-29 19:00:16.392000000,humidity,75.0
senor_1,2024-03-29 19:00:15.379000000,temperature,7.199999809
senor_1,2024-03-29 19:00:15.379000000,humidity,75.0
senor_1,2024-03-29 19:00:14.323000000,temperature,6.900000095
senor_1,2024-03-29 19:00:14.323000000,humidity,74.0
senor_1,2024-03-29 19:00:13.512000000,temperature,6.900000095
senor_1,2024-03-29 19:00:13.512000000,humidity,74.0
senor_1,2024-03-29 19:00:12.296000000,temperature,6.5
senor_1,2024-03-29 19:00:12.296000000,humidity,73.0
senor_1,2024-03-29 19:00:11.278000000,temperature,6.5
senor_1,2024-03-29 19:00:11.278000000,humidity,73.0
senor_1,2024-03-29 19:00:10.282000000,temperature,6.099999905
senor_1,2024-03-29 19:00:10.282000000,humidity,72.0
senor_1,2024-03-29 19:00:09.252000000,temperature,6.099999905
senor_1,2024-03-29 19:00:09.252000000,humidity,72.0
senor_1,2024-03-29 19:00:08.350000000,temperature,5.900000095
senor_1,2024-03-29 19:00:08.350000000,humidity,71.0
senor_1,2024-03-29 19:00:07.250000000,temperature,5.900000095
senor_1,2024-03-29 19:00:07.250000000,humidity,71.0
senor_1,2024-03-29 19:00:06.214000000,temperature,5.699999809
senor_1,2024-03-29 19:00:06.214000000,humidity,71.0
senor_1,2024-03-29 19:00:05.265000000,temperature,5.699999809
senor_1,2024-03-29 19:00:05.265000000,humidity,71.0
senor_1,2024-03-29 19:00:04.193000000,temperature,5.599999905
senor_1,2024-03-29 19:00:04.193000000,humidity,71.0
senor_1,2024-03-29 19:00:03.177000000,temperature,5.599999905
senor_1,2024-03-29 19:00:03.177000000,humidity,71.0
senor_1,2024-03-29 19:00:02.145000000,temperature,5.599999905
senor_1,2024-03-29 19:00:02.145000000,humidity,71.0
senor_1,2024-03-29 19:00:01.120000000,temperature,5.599999905
senor_1,2024-03-29 19:00:01.120000000,humidity,71.0
senor_1,2024-03-29 18:59:52.103000000,temperature,2.299999952
senor_1,2024-03-29 18:59:52.103000000,humidity,61.0
senor_1,2024-03-29 18:59:51.073000000,temperature,2.299999952
senor_1,2024-03-29 18:59:51.073000000,humidity,61.0
senor_1,2024-03-29 18:59:50.071000000,humidity,60.0
senor_1,2024-03-29 18:59:49.088000000,humidity,60.0
senor_1,2024-03-29 18:59:48.047000000,temperature,1.899999976
senor_1,2024-03-29 18:59:48.047000000,humidity,60.0
senor_1,2024-03-29 18:59:47.040000000,temperature,1.899999976
senor_1,2024-03-29 18:59:47.040000000,humidity,60.0
senor_1,2024-03-29 18:59:45.994000000,temperature,1.899999976
senor_1,2024-03-29 18:59:45.994000000,humidity,60.0
senor_1,2024-03-29 18:59:45.026000000,temperature,1.899999976
senor_1,2024-03-29 18:59:45.026000000,humidity,60.0
senor_1,2024-03-29 18:59:40.351000000,temperature,0.400000006
senor_1,2024-03-29 18:59:40.351000000,humidity,55.0
senor_1,2024-03-29 18:59:39.327000000,temperature,0.400000006
